UID          PID    PPID  C STIME TTY          TIME CMD
student    10983   10951  0 12:15 ?        00:02:57 /usr/share/code/code --type=gpu-process --crashpad-handler-pid=10968 --enable-crash-reporter=f9bb4972-67db-47b4-81a7-027d31c40d39,no_channel --user-data-dir=/home/student/.config/Code --gpu-preferences=WAAAAAAAAAAgAAAEAAAAAAAAAAAAAAAAAABgAAAAAAA4AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAGAAAAAAAAAAYAAAAAAAAAAgAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --field-trial-handle=0,i,16175247646430128681,17041305849191972245,262144 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess
student    10991   10948  0 12:15 ?        00:00:03 /usr/share/code/code --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-GB --service-sandbox-type=none --crashpad-handler-pid=10968 --enable-crash-reporter=f9bb4972-67db-47b4-81a7-027d31c40d39,no_channel --user-data-dir=/home/student/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,16175247646430128681,17041305849191972245,262144 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess
student    11028   10948  0 12:16 ?        00:00:59 /usr/share/code/code --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --crashpad-handler-pid=10968 --enable-crash-reporter=f9bb4972-67db-47b4-81a7-027d31c40d39,no_channel --user-data-dir=/home/student/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,16175247646430128681,17041305849191972245,262144 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess
student    11055   10948  0 12:16 ?        00:00:10 /usr/share/code/code --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --crashpad-handler-pid=10968 --enable-crash-reporter=f9bb4972-67db-47b4-81a7-027d31c40d39,no_channel --user-data-dir=/home/student/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,16175247646430128681,17041305849191972245,262144 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess
student    11254    3290  0 12:19 pts/2    00:00:00 bash
student    11722    3290  0 12:29 pts/4    00:00:00 bash
student    11800   10954  0 12:29 ?        00:03:14 /usr/share/code/code --type=renderer --crashpad-handler-pid=10968 --enable-crash-reporter=f9bb4972-67db-47b4-81a7-027d31c40d39,no_channel --user-data-dir=/home/student/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --app-path=/usr/share/code/resources/app --enable-sandbox --enable-blink-features=HighlightAPI --disable-gpu-compositing --lang=en-GB --num-raster-threads=1 --renderer-client-id=12 --time-ticks-at-unix-epoch=-1746090985288740 --launch-time-ticks=23513987207 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,16175247646430128681,17041305849191972245,262144 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --vscode-window-config=vscode:5e948622-1879-4f4b-b701-bac8c1d1b514
student    11812   10948  0 12:29 ?        00:00:08 /usr/share/code/code --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --dns-result-order=ipv4first --inspect-port=0 --crashpad-handler-pid=10968 --enable-crash-reporter=f9bb4972-67db-47b4-81a7-027d31c40d39,no_channel --user-data-dir=/home/student/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,16175247646430128681,17041305849191972245,262144 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess
student    11822   10948  0 12:29 ?        00:00:06 /usr/share/code/code --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --crashpad-handler-pid=10968 --enable-crash-reporter=f9bb4972-67db-47b4-81a7-027d31c40d39,no_channel --user-data-dir=/home/student/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,16175247646430128681,17041305849191972245,262144 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess
student    11845   11812  0 12:29 ?        00:00:06 /usr/share/code/code --ms-enable-electron-run-as-node /home/student/.vscode/extensions/mads-hartmann.bash-ide-vscode-1.43.0/out/server.js --node-ipc --clientProcessId=11812
